Nazwa Firmy,Województwo,Powiat,Gmina,Miejscowość,Ulica,Numer Domu,Numer Lokalu,Kod Pocztowy,Poczta,Telefon ,Adres WWW,Adres Email
Ośrodek Kultury W Gminie Juchnowiec Kościelny,Podlaskie,Białostocki,Juchnowiec Kościelny,Juchnowiec Kościelny,Pl. Królowej Rodzin,1,,16-061,Juchnowiec Kościelny,857196056,www.okjuchnowiec.pl,ok@okjuchnowiec.pl
Ośrodek Kultury W Mirosławcu,Zachodniopomorskie,Wałecki,Mirosławiec,Mirosławiec,Ul. Parkowa,1,,78-650,Mirosławiec,672595023,,okis.mc@wp.pl
Ośrodek Kultury I Sportu W Maszewie,Zachodniopomorskie,Goleniowski,Maszewo,Maszewo,Ul. Szkolna,1,,72-130,Maszewo,914187753,www.okis.maszewo.pl,okis@maszewo.pl
Lubomierskie Centrum Kultury,Dolnośląskie,Lwówecki,Lubomierz,Lubomierz,Ul. Wacława Kowalskiego,1,,59-623,Lubomierz,757352870,,okislubomierz@wp.pl
Ośrodek Kultury Miasta I Gminy W Kańczudze,Podkarpackie,Przeworski,Kańczuga,Kańczuga,Ul. Parkowa,1,,37-220,Kańczuga,166426630,,okmig@op.pl
Ośrodek Kultury Sportu I Rekreacji W Wiszni Małej,Dolnośląskie,Trzebnicki,Wisznia Mała,Wisznia Mała,Ul. Szkolna,1,,55-114,Wisznia Mała,713127096,www.oksir.wiszniamala.pl/,oksir@wiszniamala.pl
Ognisko Pracy Pozaszkolnej W Kołobrzegu,Zachodniopomorskie,Kołobrzeski,Kołobrzeg,Kołobrzeg,Ul. Mazowiecka,1,,78-100,Kołobrzeg,947220512,www.oppkolobrzeg.interia.pl,opp.kolobrzeg@interia.pl
"Gminny Ośrodek Kultury ""Perła"" W Nowinach",Świętokrzyskie,Kielecki,Sitkówka-Nowiny,Nowiny,Ul. Perłowa,1,,26-052,Nowiny,413465260,www.perla.maximum.pl,perla@nowiny.com.pl
Powiatowy Młodzieżowy Dom Kultury W Będzinie,Śląskie,Będziński,Będzin,Będzin,Ul. Powstańców Śląskich,1,,42-500,Będzin,327621269,www.pmdk.bedzin.pl,pmdk@pmdk.bedzin.pl
Gminny Ośrodek Kultury,Lubelskie,Łęczyński,Milejów,Milejów-Osada,Ul. Fabryczna,1,,21-020,Milejów,817572032,www.gok-milejow.pl,poczta@gok-milejow.pl
Sokólski Ośrodek Kultury,Podlaskie,Sokólski,Sokółka,Sokółka,Ul. Grodzieńska,1,,16-100,Sokółka,857112435,www.sokolskiosrodekkultury.pl,poczta@sok.org.pl
Centrum Kultury W Chojnie,Zachodniopomorskie,Gryfiński,Chojna,Chojna,Pl. Konstytucji 3 Maja,1,,74-500,Chojna,914022001,www.ckchojna.pl/kontakt-2/,promocja@chojna.pl
"Gołuchowskie Centrum Kultury ""Zamek"" W Gołuchowie",Wielkopolskie,Pleszewski,Gołuchów,Gołuchów,Ul. Lipowa,1,,63-322,Gołuchów,627617017,www.goluchow.pl,promocja@goluchow.pl
Regionalne Centrum Kultur Pogranicza,Podkarpackie,M. Krosno,M. Krosno,Krosno,Ul. Kolejowa,1,,38-400,Krosno,134321898,,rckp@rckp.krosno.pl
Młodzieżowy Dom Kultury W Oświęcimiu,Małopolskie,Oświęcimski,Oświęcim,Oświęcim,Ul. Karola Olszewskiego,1,,32-602,Oświęcim,338424264,www.mdkoswiecim.pl,sekretariat.mdk@powiat.oswiecim.pl
Bytomskie Centrum Kultury,Śląskie,M. Bytom,M. Bytom,Bytom,Pl. Karin Stanek,1,,41-902,Bytom,323893109,www.becek.pl,sekretariat@becek.pl
Bielański Ośrodek Kultury,Mazowieckie,M. St. Warszawa,Bielany,Warszawa,Ul. Carla Goldoniego,1,,01-913,Warszawa,228346547,www.bok-bielany.eu,sekretariat@bielanski.waw.pl
Białołęcki Ośrodek Kultury,Mazowieckie,M. St. Warszawa,Białołęka,Warszawa,Ul. Vincenta Van Gogha,1,,03-188,Warszawa,226146656,www.bok.waw.pl,sekretariat@bok.waw.pl
Centrum Edukacji I Inicjatyw Kulturalnych,Warmińsko-Mazurskie,M. Olsztyn,M. Olsztyn,Olsztyn,Ul. Parkowa,1,,10-233,Olsztyn,895131731,www.ceik.eu,sekretariat@ceik.eu
Chełmski Dom Kultury,Lubelskie,M. Chełm,M. Chełm,Chełm,Pl. Tysiąclecia Państwa Polskiego,1,,22-100,Chełm,825630265,,sekretariat@chdk.chelm.pl
Gminny Ośrodek Kultury W Stegnie,Pomorskie,Nowodworski,Stegna,Stegna,Ul. Gdańska,60,,82-103,Stegna,552478292,,gok.stegna@wp.pl
Centrum Kultury I Rekreacji We Wschowie,Lubuskie,Wschowski,Wschowa,Wschowa,Ul. Niepodległości,1,,67-400,Wschowa,655402336,,sekretariat@ckir.wschowa.pl
Centrum Kultury I Sportu W Krzeszowicach,Małopolskie,Krakowski,Krzeszowice,Krzeszowice,Ul. Dr. Jana Walkowskiego,1,,32-065,Krzeszowice,571401058,,sekretariat@ckiskrzeszowice.pl
"Centrum Kultury ""Muza""",Dolnośląskie,Lubiński,Lubin,Lubin,Ul. Armii Krajowej,1,,59-300,Lubin,767462255,www.ckmuza.pl,sekretariat@ckmuza.pl
Centrum Kultury I Biblioteka W Ścinawie,Dolnośląskie,Lubiński,Ścinawa,Ścinawa,Ul. Tadeusza Kościuszki,1,,59-330,Ścinawa,768457917,,sekretariat@ctik.scinawa.pl
Gminny Ośrodek Kultury I Sportu W Iłowie-Osadzie,Warmińsko-Mazurskie,Działdowski,Iłowo-Osada,Iłowo-Osada,Ul. Staszica,1,,13-240,Iłowo-Osada,236541061,,sekretariat@gokilowo.pl
Gminny Ośrodek Kultury I Sportu W Lichnowach,Pomorskie,Malborski,Lichnowy,Lichnowy,Ul. Lachowicza,25 A,,82-224,Lichnowy,552712632,,gokis_lichnowy@tlen.pl
Jasielski Dom Kultury,Podkarpackie,Jasielski,Jasło,Jasło,Ul. Hugona Kołłątaja,1,,38-200,Jasło,134435150,www.jdkjaslo.pl,sekretariat@jdkjaslo.pl
Kłodzki Ośrodek Kultury,Dolnośląskie,Kłodzki,Kłodzko,Kłodzko,Pl. Władysława Jagiełły,1,,57-300,Kłodzko,748673364,www.kok-klodzko.pl/kontakt/,sekretariat@kok-klodzko.pl
Przemyskie Centrum Kultury I Nauki Zamek,Podkarpackie,M. Przemyśl,M. Przemyśl,Przemyśl,Aleje Xxv Polskiej Drużyny Strzeleckiej,1,,37-700,Przemyśl,166785062,www.kultura.przemysl.pl,sekretariat@kultura.przemysl.pl
Biblioteka - Centrum Kultury Im. Jana Raka,Lubuskie,Żarski,Lubsko,Lubsko,Plac Jana Pawła Ii,1,,68-300,Lubsko,683720521,www.bck.lubsko.pl,sekretariat@ldk.lubsko.pl
"Młodzieżowy Dom Kultury ""Dom Harcerza"" Im. Prof. Aleksandra Kamińskiego W Krakowie",Małopolskie,M. Kraków,Kraków-Śródmieście,Kraków,Ul. Lotnicza,1,,31-462,Kraków,124119189,www.mdk-lotnicza.pl,sekretariat@mdk-lotnicza.pl
Mogileński Dom Kultury,Kujawsko-Pomorskie,Mogileński,Mogilno,Mogilno,Ul. Ks. Piotra Wawrzyniaka,1,,88-300,Mogilno,523152480,,sekretariat@mdk.mogilno.pl
Miejski Dom Kultury,Małopolskie,Bocheński,Bochnia,Bochnia,Ul. Regis,1,,32-700,Bochnia,146116935,,sekretariat@mdkbochnia.eu
Młodzieżowy Dom Kultury Im. Władysława Broniewskiego W Świętochłowicach,Śląskie,M. Świętochłowice,M. Świętochłowice,Świętochłowice,Ul. Harcerska,1,,41-600,Świętochłowice,327700071,www.mdksw.pl,sekretariat@mdksw.pl
"Miejski Ośrodek Kultury ""Centrum"" Im. Adama Mickiewicza",Śląskie,Zawierciański,Zawiercie,Zawiercie,Ul. Piastowska,1,,42-400,Zawiercie,326722882,www.mok.pl,sekretariat@mok.pl
Małomicki Ośrodek Kultury,Lubuskie,Żagański,Małomice,Małomice,Ul. Szkolna,1,,67-320,Małomice,683769028,www.mokmalomice.com.pl,sekretariat@mokmalomice.com.pl
Ośrodek Kultury W Brzeszczach,Małopolskie,Oświęcimski,Brzeszcze,Brzeszcze,Ul. Narutowicza,1,,32-620,Brzeszcze,322111490,www.ok.brzeszcze,sekretariat@ok.brzeszcze.pl
Ośrodek Kultury W Niemodlinie Im. Agnieszki Osieckiej,Opolskie,Opolski,Niemodlin,Niemodlin,Ul. Mikołaja Reja,1,,49-100,Niemodlin,774606096,www.okniemodlin.org,sekretariat@okniemodlin.org
Pszczyńskie Centrum Kultury,Śląskie,Pszczyński,Pszczyna,Pszczyna,Ul. W. Jagiełły,1,,43-200,Pszczyna,322104551,,sekretariat@pckul.pl
Regionalne Centrum Kultury W Kołobrzegu Im. Z.Herberta,Zachodniopomorskie,Kołobrzeski,Kołobrzeg,Kołobrzeg,Ul. Solna,1,,78-100,Kołobrzeg,943524949,www.rck.kolobrzeg.eu,sekretariat@rck.kolobrzeg.eu
"Regionalne Centrum Kultury ""Fabryka Emocji""",Wielkopolskie,Pilski,Piła,Piła,Plac Staszica,1,,64-920,Piła,602252166,www.rck.pila.pl,sekretariat@rck.pila.pl
Rakoniewicki Ośrodek Kultury,Wielkopolskie,Grodziski,Rakoniewice,Rakoniewice,Ul. Kościelna,1,,62-067,Rakoniewice,665318233,www.rokrakoniewice.pl,sekretariat@rokrakoniewice.pl
Regionalny Ośrodek Kultury Doliny Karpia W Zatorze Im.Jana Matejki,Małopolskie,Oświęcimski,Zator,Zator,Plac Jana Matejki,1,,32-640,Zator,338412166,www.rokzator.pl,sekretariat@rokzator.pl
Soleckie Centrum Kultury,Kujawsko-Pomorskie,Bydgoski,Solec Kujawski,Solec Kujawski,"Ul. Gen. Stefana Roweckiego ""Grota""",1,,86-050,Solec Kujawski,523879810,www.sck-solec.com,sekretariat@sck-solec.com
"Centrum Kultury ""Zamek""",Dolnośląskie,M. Wrocław,Wrocław-Fabryczna,Wrocław,Pl. Świętojański,1,,54-076,Wrocław,713493536,www.zamek.wroclaw.pl,sekretariat@zamek.wroclaw.pl
Krajeński Ośrodek Kultury,Wielkopolskie,Złotowski,Krajenka,Krajenka,Ul. Rynek,1,,77-430,Krajenka,672638371,www.kok.krajenka.pl,sekretariatkok@gmail.com
Ośrodek Kultury W Byczynie,Opolskie,Kluczborski,Byczyna,Byczyna,Ul. Borkowska,1,,46-220,Byczyna,774134165,www.ok.byczyna.pl,sekretariatok@byczyna.pl
Słubicki Miejski Ośrodek Kultury,Lubuskie,Słubicki,Słubice,Słubice,Ul. 1 Maja,1,,69-100,Słubice,957582439,,smok@slubice.pl
Siemiatycki Ośrodek Kultury,Podlaskie,Siemiatycki,Siemiatycze,Siemiatycze,Ul. Legionów Piłsudskiego,1,,17-300,Siemiatycze,856552554,,sok@zetobi.com.pl
Sulęciński Ośrodek Kultury,Lubuskie,Sulęciński,Sulęcin,Sulęcin,Ul. Stanisława Moniuszki,1,,69-200,Sulęcin,957552477,www.soksulecin.pl/kontakt,soksulecin@gmail.com
Szprotawski Dom Kultury,Lubuskie,Żagański,Szprotawa,Szprotawa,Ul. Mickiewicza,1,,67-300,Szprotawa,683762401,www.szdk.pl,szdk@szdk.pl
Centrum Kultury Teatr,Kujawsko-Pomorskie,M. Grudziądz,M. Grudziądz,Grudziądz,Ul. Teatralna,1,,86-300,Grudziądz,564623476,www.teatr.grudziadz.pl,teatr@grudziadz.pl
Torzymski Ośrodek Kultury,Lubuskie,Sulęciński,Torzym,Torzym,Ul. Warszawska,1,,66-235,Torzym,683413716,,torzymski.ok@interia.pl
Gminny Ośrodek Kultury W Puszczy Mariańskiej,Mazowieckie,Żyrardowski,Puszcza Mariańska,Puszcza Mariańska,Ul. Króla Jana Sobieskiego,1,,96-330,Puszcza Mariańska,,,urzad@puszcza-marianska.pl
Zakliczyńskie Centrum Kultury,Małopolskie,Tarnowski,Zakliczyn,Zakliczyn,Rynek,1,,32-840,Zakliczyn,146283330,www.zakliczyninfo.pl,zck@kultura-zakliczyn.pl
Gminny Ośrodek Kultury I Sportu W Wielgomłynach,Łódzkie,Radomszczański,Wielgomłyny,Wielgomłyny,Ul. Rynek,1,,97-525,Wielgomłyny,446801775,,zk@wielgomlyny.pl
Zdunowski Ośrodek Kultury,Wielkopolskie,Krotoszyński,Zduny,Zduny,Rynek,1,,63-760,Zduny,511870070,,zok@zduny.pl
"Centrum Artystyczno -Kulturalne ""Zamek""",Lubuskie,Krośnieński,Krosno Odrzańskie,Krosno Odrzańskie,Ul. Szkolna,1,,66-600,Krosno Odrzańskie,683838994,,
Biblioteka - Dom Kultury W Sośnie,Kujawsko-Pomorskie,Sępoleński,Sośno,Sośno,Al. Jana Pawła Ii,1,,89-412,Sośno,523891225,,
Ośrodek Kultury W Leoncinie,Mazowieckie,Nowodworski,Leoncin,Leoncin,Ul. Partyzantów,1,,05-155,Leoncin,,,
Gminny Ośrodek Kultury W Uchaniach,Lubelskie,Hrubieszowski,Uchanie,Uchanie,Ul. Partyzantów,1,,22-510,Uchanie,,,
"Centrum Kultury, Sportu I Rekreacji W Ujsołach",Śląskie,Żywiecki,Ujsoły,Ujsoły,Ul. Bystra,1,,34-371,Ujsoły,,,
Kopalnia Kultury,Śląskie,Będziński,Czeladź,Czeladź,Ul. Stanisława Trznadla,1,,41-253,Czeladź,,,
"Miejski Ośrodek Kultury""Centrum""Im.Adama Mickiewicza Filia W Kromołowie",Śląskie,Zawierciański,Zawiercie,Zawiercie,Ul. Filaretów,1,,42-431,Zawiercie,,,
Ośrodek Kultury W Będzinie - Filia,Śląskie,Będziński,Będzin,Będzin,Plac Skarbińskich,1,,42-506,Będzin,,,
Centrum Kultury Dział Domów Kultury - Dom Kultury Szczygłowice,Śląskie,Gliwicki,Knurów,Knurów,Ul. Górnicza,1,,44-193,Knurów,,,
Stacja Kultura,Śląskie,Raciborski,Pietrowice Wielkie,Pietrowice Wielkie,Ul. 1 Maja,1,,47-480,Pietrowice Wielkie,,,
Konińskie Centrum Kultury,Wielkopolskie,M. Konin,M. Konin,Konin,Ul. Plac Niepodległości,1,,62-510,Konin,,,
Gminny Ośrodek Kultury,Wielkopolskie,Pleszewski,Gołuchów,Gołuchów,Ul. Czartoryskich,1,,63-322,Gołuchów,,,
Świetlica Środowiskowa W Stefanowie,Łódzkie,Łódzki Wschodni,Brójce,Stefanów,,1,,95-006,Brójce,,,
Gminny Dom Kultury W Brąszewicach,Łódzkie,Sieradzki,Brąszewice,Brąszewice,Ul. Starowiejska,1,,98-277,Brąszewice,,,
Miejsko-Gminne Centrum Kultury W Kaczorach,Wielkopolskie,Pilski,Kaczory,Kaczory,Ul. Pilska,1 A,,64-810,Kaczory,672842229,www.ckkaczory.pl,biuro@ckkaczory.pl
Gminny Ośrodek Kultury W Matyldowie,Łódzkie,Rawski,Rawa Mazowiecka,Matyldów,,1 A,,96-200,Rawa Mazowiecka,468144241,,gok@rawam.ug.gov.pl
Gminny Ośrodek Kultury I Sportu W Starym Polu,Pomorskie,Malborski,Stare Pole,Stare Pole,Ul. Marynarki Wojennej,1 B,,82-220,Stare Pole,552713510,www.gokisstarepole.pl,gokis11@wp.pl
Miejsko-Gminny Ośrodek Kultury W Kiernozi,Łódzkie,Łowicki,Kiernozia,Kiernozia,Ul. Sobocka,1 A,,99-412,Kiernozia,242779008,,gokkiernozia@interia.pl
Miejsko-Gminny Ośrodek Kultury W Miłomłynie,Warmińsko-Mazurskie,Ostródzki,Miłomłyn,Miłomłyn,Ul. Nadleśna,1 A,,14-140,Miłomłyn,896473038,www.mgok.cba.pl,m-gok@o2.pl
Gminny Ośrodek Kultury I Sportu W Bolesławcu Z Siedzibą W Kruszynie,Dolnośląskie,Bolesławiecki,Bolesławiec,Kruszyn,Ul. Kasztanowa,1 B,,59-700,Bolesławiec,757321477,,gokis.boleslawiec@wp.pl
Nowostawskie Centrum Kultury I Biblioteki W Nowym Stawie,Pomorskie,Malborski,Nowy Staw,Nowy Staw,Ul. Jana Pawła Ii,2,,82-230,Nowy Staw,552715156,www.nckibnowystaw.pl,ksiegowosc@nckibnowystaw.pl
Ośrodek Kultury W Miłkach,Warmińsko-Mazurskie,Giżycki,Miłki,Miłki,Ul. Szkolna,1 B,,11-513,Miłki,877331901,www.okmilki.pl,osrodekkulturymilki@gmail.com
Bolesławiecki Ośrodek Kultury - Międzynarodowe Centrum Ceramiki W Bolesławcu,Dolnośląskie,Bolesławiecki,Bolesławiec,Bolesławiec,Plac Marszałka Józefa Piłsudskiego,1 C,,59-700,Bolesławiec,756453294,,sekretariat@bok.boleslawiec.pl
Miejski Dom Kultury,Zachodniopomorskie,M. Świnoujście,M. Świnoujście,Świnoujście,Ul. Wojska Polskiego,1/1,,72-600,Świnoujście,913215949,www.mdk.swinoujscie.pl,sekretariat@mdk.swinoujscie.pl
Gminny Ośrodek Kultury W Wydminach,Warmińsko-Mazurskie,Giżycki,Wydminy,Wydminy,Pl. Rynek,1/3,,11-510,Wydminy,874210142,www.gokwydminy.net,gok@wydminy.pl
Ośrodek Kultury I Sportu W Zielonce,Mazowieckie,Wołomiński,Zielonka,Zielonka,Ul. Waleriana Łukasińskiego,1/3,,05-220,Zielonka,227719070,www.okis.zielonka.pl,okis@zielonka.pl
Miejski Ośrodek Sportu I Kultury W Dziwnowie,Zachodniopomorskie,Kamieński,Dziwnów,Dziwnów,Ul. Władysława Reymonta,10,,72-420,Dziwnów,913813227,www.mosik.pl,biuro@mosik.pl
"Centrum Kultury ""Zamek W Toszku""",Śląskie,Gliwicki,Toszek,Toszek,Ul. Zamkowa,10,,44-180,Toszek,322334493,www.zamektoszek.eu,biuro@zamektoszek.eu
Centrum Biblioteczno-Kulturalne W Udaninie,Dolnośląskie,Średzki,Udanin,Udanin,Ul. Kościelna,10,,55-340,Udanin,767442870,,cbk@udanin.pl
Centrum Kultury Gminy Ełk Z Siedzibą W Stradunach,Warmińsko-Mazurskie,Ełcki,Ełk,Straduny,Ul. Michała Kajki,10,3,19-300,Ełk,876196666,,centrum.kultury@elk.gmina.pl
Centrum Kultury I Sportu W Murowanej Goślinie,Wielkopolskie,Poznański,Murowana Goślina,Murowana Goślina,Ul. Mściszewska,10,,62-095,Murowana Goślina,618122120,www.ckis.murowana-goslina.pl,centrum@ckis.murowana-goslina.pl
Centrum Kultury Gminy Jabłonna,Lubelskie,Lubelski,Jabłonna,Piotrków Drugi,,10,,23-114,Piotrków Drugi,815613021,,centrumkultury@jablonna.lubelskie.pl
Chmielnickie Centrum Kultury,Świętokrzyskie,Kielecki,Chmielnik,Chmielnik,Ul. Starobuska,10,,26-020,Chmielnik,413542397,,chmielnickie@gmail.com
Centrum Kultury W Głogówku,Opolskie,Prudnicki,Głogówek,Głogówek,Ul. Batorego,10,,48-250,Głogówek,774069140,www.mgok.glogowek.pl,ck@glogowek.pl
Centrum Kultury I Promocji W Złotym Stoku,Dolnośląskie,Ząbkowicki,Złoty Stok,Złoty Stok,Ul. 3 Maja,10,,57-250,Złoty Stok,748175591,,ckip@zlotystok.pl
Gminne Centrum Kultury W Dobrzycy,Wielkopolskie,Pleszewski,Dobrzyca,Dobrzyca,Ul. Koźmińska,10,,63-330,Dobrzyca,627428822,,gck-dobrzyca@wp.pl
Gminny Ośrodek Kultury,Lubelskie,Lubelski,Niemce,Niemce,Ul. Różana,10,,21-025,Niemce,817561555,,gok.niemce@poczta.fm
Powiatowe Ognisko Plastyczne W Malborku,Pomorskie,Malborski,Malbork,Malbork,Ul. Jagiellońska,78A,,82-200,Malbork,552722668,www.ognisko.malbork.edu.pl,kontakt.pop@powiat.malbork.pl
"Gminny Ośrodek Kultury, Sportu I Turystyki W Dębowcu",Śląskie,Cieszyński,Dębowiec,Łączka,Ul. Widokowa,10,,43-426,Dębowiec,338588351,www.ck.debowiec.com.pl,gok@debowiec.cieszyn.pl
Gminny Ośrodek Kultury I Biblioteka Publiczna W Dominowie,Wielkopolskie,Średzki,Dominowo,Dominowo,Ul. Centralna,10,,63-012,Dominowo,665500581,,gok@dominowo.pl
Malborskie Centrum Kultury I Edukacji,Pomorskie,Malborski,Malbork,Malbork,Aleja Armii Krajowej,68,,82-200,Malbork,552723852,www.kultura.malbork.pl,biuro@kultura.malbork.pl
Gminny Ośrodek Kultury,Podkarpackie,Tarnobrzeski,Gorzyce,Gorzyce,Plac Erazma Mieszczańskiego,10,,39-432,Gorzyce,158362131,,gok@gokgorzyce.pl
Gminny Ośrodek Kultury W Kobylinie,Wielkopolskie,Krotoszyński,Kobylin,Kobylin,Ul. Strzelecka,10,,63-740,Kobylin,508106928,,gok@kobylin.pl
Gminny Ośrodek Kultury,Łódzkie,Bełchatowski,Szczerców,Szczerców,Ul. Częstochowska,10,,97-420,Szczerców,446318696,,gok@szczercow.pl
Gminny Ośrodek Kultury W Trzciannem,Podlaskie,Moniecki,Trzcianne,Trzcianne,Ul. Wojska Polskiego,10,,19-104,Trzcianne,857131031,www.gok.trzcianne.pl,gok@trzcianne.pl
Brzezińskie Centrum Kultury I Biblioteka,Wielkopolskie,Kaliski,Brzeziny,Brzeziny,Ul. 1000-Lecia,10,,62-874,Brzeziny,627698064,,goksir@brzeziny-gmina.pl
"Gminny Ośrodek Kultury, Sportu I Rekreacji W Niedrzwicy Dużej",Lubelskie,Lubelski,Niedrzwica Duża,Niedrzwica Duża,Ul. Lubelska,10,,24-220,Niedrzwica Duża,815175159,www.goksir.niedrzwicaduza.pl/,goksir@niedrzwicaduza.pl
Pałac W Ostoi - Gminne Centrum Kulturalno-Rekreacyjne,Zachodniopomorskie,Policki,Kołbaskowo,Ostoja,,10,,72-005,Przecław,503658444,www.palacostoja.eu,info@palacostoja.eu
Centrum Kultury Gminy Łapanów,Małopolskie,Bocheński,Łapanów,Łapanów,,10,,32-740,Łapanów,146853450,,kontakt@ck-lapanow.pl
Dom Kultury W Tuchowie,Małopolskie,Tarnowski,Tuchów,Tuchów,Ul. Fryderyka Chopina,10,,33-170,Tuchów,146525436,www.dktuchow.pl,kultura@dktuchow.pl
Krasnostawski Dom Kultury,Lubelskie,Krasnostawski,Krasnystaw,Krasnystaw,Ul. Okrzei,10,,22-300,Krasnystaw,825762218,www.kultura.krasnystaw.pl,kultura@krasnystaw.pl
Miejski Ośrodek Kultury,Małopolskie,Brzeski,Brzesko,Brzesko,Plac Targowy,10,,32-800,Brzesko,146849660,www.mok-brzesko.pl,kultura@mok-brzesko.pl
Gminny Ośrodek Kultury,Łódzkie,Kutnowski,Strzelce,Strzelce,Ul. Główna,10,,99-307,Strzelce,243566611,,marek.syska@gminastrzelce.eu
Młodzieżowy Dom Kultury W Biłgoraju,Lubelskie,Biłgorajski,Biłgoraj,Biłgoraj,"Ul. ""Wira"" Bartoszewskiego",10,,23-400,Biłgoraj,846868956,www.mdk-bilgoraj.lbl.pl,mdk@lbl.pl
Młodzieżowy Dom Kultury,Wielkopolskie,Ostrowski,Ostrów Wielkopolski,Ostrów Wielkopolski,Ul. Wolności,10,,63-400,Ostrów Wielkopolski,627355027,www.mdkostrow.pl,mdk@mdkostrow.pl
Powiatowy Młodzieżowy Dom Kultury Im. Michała Elwiro Andriollego W Otwocku,Mazowieckie,Otwocki,Otwock,Otwock,Ul. Józefa Poniatowskiego,10,,05-400,Otwock,227793357,www.pmdk-otwock.pl,mdk@pmdk-otwock.pl
Centrum Kultury I Sportu W Miechowie,Małopolskie,Miechowski,Miechów,Miechów,Ul. Racławicka,10,,32-200,Miechów,413831331,www.mdk.miechow.com,mdkmiechow@o2.pl
"Młodzieżowy Dom Kultury ""Muranów"" Im. C. K. Norwida",Mazowieckie,M. St. Warszawa,Śródmieście,Warszawa,Ul. Stawki,10,,00-178,Warszawa,226358285,www.mdk-muranow.waw.pl,mdkmur@eduwarszawa.pl
"Młodzieżowy Dom Kultury ""Ochota""",Mazowieckie,M. St. Warszawa,Ochota,Warszawa,Ul. Rokosowska,10,,02-348,Warszawa,228222895,www.mdkochota.edu.pl,mdkochota@eduwarszawa.pl
Lubranieckie Centrum Dziedzictwa Kulturowego,Kujawsko-Pomorskie,Włocławski,Lubraniec,Lubraniec,Ul. Brzeska,10,,87-890,Lubraniec,542862326,,mgok@op.pl
Miejski Ośrodek Kultury,Małopolskie,Limanowski,Mszana Dolna,Mszana Dolna,Ul. Spadochroniarzy,10,,34-730,Mszana Dolna,183310011,,mok@mszana.pl
Miejski Ośrodek Kultury Im.Charlesa Spencera Chaplina W Legionowie,Mazowieckie,Legionowski,Legionowo,Legionowo,Ul. Cypriana Kamila Norwida,10,,05-120,Legionowo,227744474,www.moklegionowo.pl,moklegionowo@tlen.pl
"Miejsko-Gminny Ośrodek Kultury, Sportu I Rekreacji",Opolskie,Nyski,Korfantów,Korfantów,Pl. Rynek,10,,48-317,Korfantów,774343865,,moksir@poczta.onet.pl
Miejski Ośrodek Kultury,Mazowieckie,Wołomiński,Ząbki,Ząbki,Ul. Juliusza Słowackiego,10,,05-091,Ząbki,227816430,www.mokzabki.koti.pl,mokzabki@gmail.com
Ognisko Pracy Pozaszkolnej W Andrychowie,Małopolskie,Wadowicki,Andrychów,Andrychów,Ul. Metalowców,10,,34-120,Andrychów,334322760,www.owr.abdrychow.pl,ognisko@andrychow.eu
Ośrodek Kultury W Młynarach,Warmińsko-Mazurskie,Elbląski,Młynary,Młynary,Ul. Dworcowa,10,,14-420,Młynary,552486050,,okmlynary@op.pl
Płocki Ośrodek Kultury I Sztuki Im. Franciszki I Stefana Themersonów,Mazowieckie,M. Płock,M. Płock,Płock,Ul. Jana Zygmunta Jakubowskiego,10,,09-402,Płock,243664333,www.pokis.pl,pokis@pokis.pl
Świetlica W Lesznie,Mazowieckie,Warszawski Zachodni,Leszno,Leszno,Ul. Szkolna,10,,05-084,Leszno,571793283,,pracownia@gok.gminaleszno.pl
Sulmierzycki Dom Kultury,Wielkopolskie,Krotoszyński,Sulmierzyce,Sulmierzyce,Ul. Strzelecka,10,,63-750,Sulmierzyce,627223259,www.sdk.net.pl/,sdk@sulmierzyce.pl
"Dom Kultury ""Krzemień"" W Szczecinie",Zachodniopomorskie,M. Szczecin,M. Szczecin,Szczecin,Ul. Krzemienna,10,,70-742,Szczecin,914634223,www.krzemien.art/,sekretariat@krzemien.art
Powiatowe Centrum Edukacji Kulturalnej W Ropczycach,Podkarpackie,Ropczycko-Sędziszowski,Ropczyce,Ropczyce,Ul. Mickiewicza,10,,39-100,Ropczyce,177222345,www.pcek-ropczyce.pl,sekretariat@pcek-ropczyce.pl
Włodawski Dom Kultury,Lubelskie,Włodawski,Włodawa,Włodawa,Aleja Józefa Piłsudskiego,10,,22-200,Włodawa,825721751,www.wdk.wlodawa.eu/kontakt/,sekretariat@wdkwlodawa.pl
Ziębickie Centrum Kultury,Dolnośląskie,Ząbkowicki,Ziębice,Ziębice,Ul. Wojska Polskiego,10,,57-220,Ziębice,748191219,www.zck.ziebice.pl,sekretariat@zck.ziebice.pl
Suski Ośrodek Kultury,Warmińsko-Mazurskie,Iławski,Susz,Susz,Ul. Józefa Wybickiego,10,,14-240,Susz,552786116,,sok_susz@interia.pl
Gminny Ośrodek Kultury,Śląskie,Bieruńsko-Lędziński,Chełm Śląski,Chełm Śląski,Ul. Owocowa,10,,41-403,Chełm Śląski,327080035,,swietlica.chelmsl@interia.pl
Gminny Ośrodek Kultury W Gardei,Pomorskie,Kwidzyński,Gardeja,Gardeja,Ul. Sportowa,7,,82-520,Gardeja,552751488,,gok@post.pl
Miejski Dom Kultury W Brzezinach,Łódzkie,Brzeziński,Brzeziny,Brzeziny,Ul. Henryka Sienkiewicza,10/12,,95-060,Brzeziny,535965678,www.cpik-brzeziny.com.pl,kontakt@cpik-brzeziny.com.pl
